nim,umur,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
18013083,Di atas 20 tahun.,3,2,2,3,3,4,4,3,3,2,3,5,2,4,4
18013030,Di atas 20 tahun.,4,2,1,3,3,4,5,2,3,2,1,5,4,4,5
18013010,Di atas 20 tahun.,4,3,3,3,3,4,4,3,3,3,3,4,3,4,3
18013024,Di atas 20 tahun.,4,2,2,2,2,4,2,3,3,2,2,4,2,3,2
18013047,Di atas 20 tahun.,5,2,2,3,5,5,4,4,5,4,2,2,3,3,2
18013120,Di atas 20 tahun.,4,2,1,1,2,2,1,5,5,2,2,2,1,2,4
18013063,Di atas 20 tahun.,3,2,2,4,3,4,4,3,2,1,3,4,3,2,2
19051003,Di atas 20 tahun.,5,4,5,3,3,3,4,4,4,3,3,3,3,3,3
19041044,Di atas 20 tahun.,4,1,2,4,4,4,4,2,4,2,2,3,4,2,4
18013056,Di atas 20 tahun.,3,2,1,2,3,4,5,4,4,2,2,5,3,4,2
18013002,Di atas 20 tahun.,2,3,3,4,3,4,4,5,5,3,4,4,4,4,3
18013020,Di atas 20 tahun.,3,2,2,3,3,5,5,3,2,4,2,3,2,4,3
19013001,Di atas 20 tahun.,5,5,5,5,4,4,4,4,4,4,4,5,3,5,5
19013019,Di atas 20 tahun.,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18013091,Di atas 20 tahun.,4,3,3,4,4,5,5,4,3,4,3,5,3,4,5
18013106,Di atas 20 tahun.,3,2,4,2,1,5,3,3,1,3,4,5,3,2,3
18013115,Di atas 20 tahun.,4,2,3,4,4,4,4,4,4,4,3,4,4,4,4
18013009,Di atas 20 tahun.,5,1,3,4,4,5,4,3,4,5,3,5,4,5,5
18013029,Di atas 20 tahun.,5,1,3,4,4,5,4,3,4,5,3,5,4,5,5
18013052,Di atas 20 tahun.,5,5,5,4,4,5,4,5,4,4,5,5,4,5,5
20013008,Di atas 20 tahun.,4,1,2,2,2,3,4,2,4,2,2,2,1,1,3
18013028,Di atas 20 tahun.,4,3,3,4,4,5,5,4,4,3,3,5,4,5,5
16061076,Di atas 20 tahun.,4,3,3,3,3,3,4,4,4,3,3,4,4,4,4
21013041,Di bawah 20 tahun.,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
18013026,Di atas 20 tahun.,5,3,4,4,4,5,5,4,4,5,3,5,4,5,5
19013003,Di atas 20 tahun.,4,3,2,4,4,4,4,4,2,3,2,3,3,3,2
19041004,Di atas 20 tahun.,4,4,3,3,4,4,3,3,4,2,3,3,3,4,5
20013038,Di atas 20 tahun.,3,2,3,3,3,3,3,3,4,4,3,4,3,4,4
18013025,Di atas 20 tahun.,3,3,3,3,3,4,4,2,2,4,2,4,3,4,4
21013045,Di bawah 20 tahun.,4,3,3,4,4,5,5,5,4,4,3,4,3,4,5
18013027,Di atas 20 tahun.,4,4,3,3,3,4,2,4,4,4,2,4,3,5,4
19041040,Di atas 20 tahun.,3,2,2,3,1,3,1,2,3,3,2,2,2,4,4
19013005,Di atas 20 tahun.,5,3,3,4,4,3,4,5,4,5,2,3,3,4,4
18013003,Di atas 20 tahun.,2,1,2,2,2,2,2,3,3,3,2,1,1,3,4
20013026,Di atas 20 tahun.,3,2,1,2,2,2,1,2,3,4,2,2,2,4,4
19013002,Di atas 20 tahun.,2,2,2,2,2,2,1,2,3,2,1,1,1,4,4
18013038,Di atas 20 tahun.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18013021,Di atas 20 tahun.,3,3,3,4,4,4,2,5,4,3,3,4,3,4,4
18013004,Di atas 20 tahun.,5,4,4,5,4,5,3,4,5,5,3,4,4,4,4
19013006,Di atas 20 tahun.,4,4,4,4,3,4,3,4,5,5,2,4,4,4,4
19013010,Di atas 20 tahun.,2,1,1,2,2,4,2,3,4,2,1,2,2,3,4
18013045,Di atas 20 tahun.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
